circuit_id,lap_distance_m,provenance,air_density,air_density_measured,grip_scale,grip_scale_fitted,soc_start_mj,harvest_cap_mj,solve_seconds,optimal_lap_s,uniform_lap_s,greedy_lap_s,gain_vs_uniform_s,gain_vs_greedy_s,optimal_deployed_mj,optimal_harvested_mj,uniform_deployed_mj,greedy_deployed_mj,optimal_soc_end_mj,greedy_soc_end_mj,greedy_energy_debt_mj,greedy_periodic,uniform_periodic,optimal_periodic,optimal_soc_deficit_j,optimal_clip_pct,uniform_clip_pct,greedy_clip_pct,uniform_fraction,harvest_multiplier,notes,measured_lap_s,measured_driver,measured_deployed_mj,measured_harvested_mj,measured_soc_start_mj,measured_soc_end_mj,measured_unexplained_mj,measured_note
melbourne,5242.15,2026 Qualifying,1.195443203673984,True,1.1734,True,2.0,7.0,3.1039655208587646,77.48207665448976,79.37747898131744,77.85876144061822,1.8954023268276785,0.37668478612846457,5.576810675837635,5.866456348300588,3.5626477427040246,5.179064478013249,2.2896456724629566,0.5618770356745576,1.4381229643254425,False,True,True,-289645.6724629565,0.0,0.0,65.17175572519083,0.166015625,0.0,[],78.518,RUS,4.257549255970223,2.550363594446395,4.0,2.2928143384761728,0.042241275314272866,"Reconstructed from the measured speed trace by inverse dynamics under the fitted model: the electrical power the observed acceleration required beyond the engine, and the recoverable share of the observed braking. Not a measurement — public telemetry has no energy channels — and it inherits the model's assumed engine power."
shanghai,5449.45,2026 Qualifying,1.2227200988830673,True,1.2672,True,2.0,7.0,40.79893350601196,90.32558764263098,92.72569158627607,91.20598474378959,2.4001039436450924,0.8803971011586071,6.9927211259350335,7.0,5.240811142685242,6.569028832331925,2.0072788740649665,0.8003418973617304,1.1996581026382696,False,True,True,-7278.874064966338,0.0,0.0,53.30275229357798,0.2578125,1.1718749999999999e-07,['Harvest cap 7.00 MJ binds; periodicity restored with multiplier 1.172e-07 s/J after 11 DP solves.'],92.064,ANT,5.3214551286801415,3.833284476120445,4.0,2.511829347440305,0.3639070063950398,"Reconstructed from the measured speed trace by inverse dynamics under the fitted model: the electrical power the observed acceleration required beyond the engine, and the recoverable share of the observed braking. Not a measurement — public telemetry has no energy channels — and it inherits the model's assumed engine power."
suzuka,5774.9,2026 Qualifying,1.2087846671123497,True,1.2262,True,2.0,7.0,4.018661260604858,85.32436500968198,87.95886421435262,86.42059291290248,2.6344992046706324,1.0962279032204947,6.936273175536883,6.983392677005128,4.141147501025752,5.613758371270747,2.0471195014682406,0.6349652145382676,1.3650347854617324,False,True,True,-47119.50146824075,0.0,0.0,61.64502164502165,0.1787109375,0.0,[],89.076,RUS,4.706312252514014,2.822461027828182,4.0,2.1161487753141697,0.19691771052500875,"Reconstructed from the measured speed trace by inverse dynamics under the fitted model: the electrical power the observed acceleration required beyond the engine, and the recoverable share of the observed braking. Not a measurement — public telemetry has no energy channels — and it inherits the model's assumed engine power."
miami-gardens,5350.08,2026 Qualifying,1.1390846797286098,True,1.0352,True,2.0,7.0,3.7915236949920654,85.61466780573308,87.67339407952353,86.62178871122808,2.0587262737904553,1.0071209054950003,6.860165009110788,6.934784961969001,5.044428530647295,5.990319562884038,2.074619952858219,1.2875895277181804,0.7124104722818196,False,True,True,-74619.95285821916,0.0,0.0,50.93457943925234,0.287109375,0.0,[],87.798,ANT,4.925289481169706,2.883052508797031,4.0,1.957763027627325,0.8133493660758534,"Reconstructed from the measured speed trace by inverse dynamics under the fitted model: the electrical power the observed acceleration required beyond the engine, and the recoverable share of the observed braking. Not a measurement — public telemetry has no energy channels — and it inherits the model's assumed engine power."
montreal,4313.19,2026 Qualifying,1.2141653349544819,True,1.0258,True,2.0,7.0,3.2041544914245605,71.483446791038,73.6005792504424,71.63183796908024,2.117132459404388,0.14839117804223179,6.1116810131582335,6.1657717206670215,4.0195416398410035,5.384698854848997,2.0540907075087813,0.74203050073099,1.25796949926901,False,True,True,-54090.70750878146,0.0,0.0,55.272305909617614,0.2265625,0.0,[],72.646,ANT,4.864386427972545,2.6093444582981897,4.0,1.744958030325642,0.11428209565618833,"Reconstructed from the measured speed trace by inverse dynamics under the fitted model: the electrical power the observed acceleration required beyond the engine, and the recoverable share of the observed braking. Not a measurement — public telemetry has no energy channels — and it inherits the model's assumed engine power."
monte-carlo,3273.68,2026 Qualifying,1.1869932520051865,True,1.1887,True,2.0,7.0,2.4478580951690674,67.58146487891183,68.73588350337114,67.86829998159638,1.1544186244593106,0.2868351026845488,6.621146132542424,6.734089085889301,5.786524634118079,6.949335244178532,2.112942953346874,0.982813308322272,1.017186691677728,False,True,True,-112942.9533468741,0.0,0.0,22.442748091603054,0.478515625,0.0,[],72.094,VER,3.087916846105932,2.44125192021812,4.0,3.353335074112189,0.0,"Reconstructed from the measured speed trace by inverse dynamics under the fitted model: the electrical power the observed acceleration required beyond the engine, and the recoverable share of the observed braking. Not a measurement — public telemetry has no energy channels — and it inherits the model's assumed engine power."
barcelona,4614.87,2026 Qualifying,1.1484237762806717,True,1.0891,True,2.0,7.0,3.5248193740844727,72.45525657708689,74.05730898772354,73.08611333377115,1.6020524106366594,0.6308567566842669,5.9596142679709905,6.204012316956486,4.061165492326615,5.647152178706395,2.2443980489854947,0.653839169456249,1.346160830543751,False,True,True,-244398.04898549477,0.0,0.0,52.65438786565547,0.236328125,0.0,[],74.679,RUS,3.165123007959688,2.536949998947138,4.0,3.3718269909874508,0.22260697162070495,"Reconstructed from the measured speed trace by inverse dynamics under the fitted model: the electrical power the observed acceleration required beyond the engine, and the recoverable share of the observed braking. Not a measurement — public telemetry has no energy channels — and it inherits the model's assumed engine power."
spielberg,4293.06,2026 Qualifying,1.0660080275582502,True,1.0375,True,2.0,7.0,3.429232120513916,65.72214641728958,67.81561124503854,66.2030943571328,2.09346482774896,0.4809479398432188,5.992917299361286,6.086158702111293,4.0081222285456235,5.29527968815863,2.0932414027500093,0.730145259313415,1.269854740686585,False,True,True,-93241.40275000944,0.0,0.0,54.0162980209546,0.23876953125,0.0,[],66.414,ANT,5.15298304531095,3.1158130062644527,4.0,1.9628299609534998,0.05389867447186061,"Reconstructed from the measured speed trace by inverse dynamics under the fitted model: the electrical power the observed acceleration required beyond the engine, and the recoverable share of the observed braking. Not a measurement — public telemetry has no energy channels — and it inherits the model's assumed engine power."
silverstone,5830.3,2026 Qualifying,1.1697109337713318,True,1.0094,True,2.0,7.0,46.31682729721069,86.18064576151934,88.64795382705188,87.16047431889356,2.467308065532535,0.9798285573742191,6.9649798996001175,7.0,4.3904475502123885,5.535476674307144,2.035020100399884,0.9148075301318251,1.0851924698681747,False,True,True,-35020.1003998837,0.0,0.0,59.348198970840485,0.201171875,3.125e-08,['Harvest cap 7.00 MJ binds; periodicity restored with multiplier 3.125e-08 s/J after 11 DP solves.'],88.385,ANT,3.9237660790369793,2.3340245737238066,4.0,2.410258494686827,0.0005099194903477715,"Reconstructed from the measured speed trace by inverse dynamics under the fitted model: the electrical power the observed acceleration required beyond the engine, and the recoverable share of the observed braking. Not a measurement — public telemetry has no energy channels — and it inherits the model's assumed engine power."
spa-francorchamps,6951.97,2026 Qualifying,1.1411230092197684,True,1.0621,True,2.0,7.0,50.793131828308105,102.9451436888972,105.39498603530151,104.27124007279801,2.44984234640431,1.3260963839008042,6.976458685267294,7.0,4.967492988483415,6.437500128335641,2.0235413147327073,0.7600130340209998,1.2399869659790002,False,True,True,-23541.31473270734,0.0,0.0,62.37410071942446,0.1923828125,1.6015624999999998e-07,['Harvest cap 7.00 MJ binds; periodicity restored with multiplier 1.602e-07 s/J after 11 DP solves.'],104.893,LEC,4.249214125223324,2.118521396482003,4.0,1.8693072712586838,0.2968777216539672,"Reconstructed from the measured speed trace by inverse dynamics under the fitted model: the electrical power the observed acceleration required beyond the engine, and the recoverable share of the observed braking. Not a measurement — public telemetry has no energy channels — and it inherits the model's assumed engine power."
